date, pm25, pm10, o3, no2, so2, co, aqi
2024/7/18, , , , , , , 76
2024/7/19, , , , , , , 65
2024/7/20, , , , , , , 67
2024/7/21, , , , , , , 79
2024/7/22, , , , , , , 77
2024/7/23, , , , , , , 77
2024/7/24, , , , , , , 76
2024/7/25, , , , , , , 91
2024/7/26, , , , , , , 77
2024/7/27, , , , , , , 76
2024/7/28, , , , , , , 80
2024/7/29, , , , , , , 66
2024/7/30, , , , , , , 72
2024/7/31, , , , , , , 76
2024/8/1, , , , , , , 65
2024/8/2, , , , , , , 70
2024/8/3, , , , , , , 73
2024/8/4, , , , , , , 63
2024/8/5, , , , , , , 64
2024/8/6, , , , , , , 69
2024/8/7, , , , , , , 61
2024/8/8, , , , , , , 61
2024/8/9, , , , , , , 72
2024/8/10, , , , , , , 62
2024/8/11, , , , , , , 53
2024/8/12, , , , , , , 49
2024/8/13, , , , , , , 50
2024/8/14, , , , , , , 55
2024/8/15, , , , , , , 66
2024/8/16, , , , , , , 61
2024/8/17, , , , , , , 57
2024/8/18, , , , , , , 59
2024/8/19, , , , , , , 54
2024/8/20, , , , , , , 49
2024/8/21, , , , , , , 46
2024/8/22, , , , , , , 55
2024/8/23, , , , , , , 39
2024/8/24, , , , , , , 49
2024/8/25, , , , , , , 47
2024/8/26, , , , , , , 35
2024/8/27, , , , , , , 44
2024/8/28, , , , , , , 38
2024/8/29, , , , , , , 38
2024/8/30, , , , , , , 64
2024/8/31, , , , , , , 66
2024/9/1, , , , , , , 56
2024/9/2, , , , , , , 60
2024/9/3, , , , , , , 69
2024/9/4, , , , , , , 54
2024/9/5, , , , , , , 45
2024/9/6, , , , , , , 45
2024/9/7, , , , , , , 54
2024/9/8, , , , , , , 49
2024/9/9, , , , , , , 44
2024/9/10, , , , , , , 56
2024/9/11, , , , , , , 69
2024/9/12, , , , , , , 59
2024/9/13, , , , , , , 43
2024/9/14, , , , , , , 52
2024/9/15, , , , , , , 54
2024/9/16, , , , , , , 33
2024/9/17, , , , , , , 41
2024/9/18, , , , , , , 38
2024/9/19, , , , , , , 46
2024/9/20, , , , , , , 54
2024/9/21, , , , , , , 65
2024/9/22, , , , , , , 66
2024/9/23, , , , , , , 79
2024/9/24, , , , , , , 63
2024/9/25, , , , , , , 55
2024/9/26, , , , , , , 51
2024/9/27, , , , , , , 56
2024/9/28, , , , , , , 62
